industry,orgSize,budget,Average Spend
Transportation,"1,500.50","175,000.50",
Banking and finance,"1,500.50",375000.5,
Government,"1,500.50",375000.5,
Technology,"1,500.50","1,500,000",
Technology,"1,500.50","1,500,000",
Technology,"1,500.50","3,000,000",
Banking and finance,"1,500.50","6,000,000",
Technology,"1,500.50","875,000.50",
Technology,"1,500.50","50,000.50",1025.58425
Education300.5,300.5,"175,000.50",
Banking and finance,300.5,"175,000.50",
Banking and finance,300.5,"175,000.50",
Retail,300.5,"175,000.50",
Technology,300.5,"175,000.50",
Technology,300.5,"175,000.50",
Technology,300.5,"175,000.50",
Cybersecurity,300.5,"175,000.50",2293.0547
Government,300.5,375000.5,
Cybersecurity,300.5,375000.5,
Banking and finance,300.5,375000.5,
Utilities,300.5,375000.5,
Transportation,300.5,375000.5,
Manufacturing,300.5,375000.5,
Cybersecurity,300.5,"625,000.50",
Government,300.5,"625,000.50",
Cybersecurity,300.5,"625,000.50",
Media,300.5,"1,500,000",
Cybersecurity,300.5,"3,000,000",
Banking and finance,300.5,"3,000,000",
Technology,300.5,"6,000,000",
Education,300.5,"875,000.50",
Banking and finance,300.5,"875,000.50",
Cybersecurity,300.5,"875,000.50",
Technology,300.5,"50,000.50",
Banking and finance,300.5,"50,000.50",
Banking and finance,300.5,"50,000.50",
Other (Please specify),300.5,"50,000.50",
Government,300.5,"50,000.50",
Banking and finance,300.5,"50,000.50",
Utilities,300.5,"50,000.50",
Education,300.5,"50,000.50",
Other (Please specify),"3,500.50","175,000.50",
Government,"3,500.50",375000.5,
Retail,"3,500.50",375000.5,
Education,"3,500.50","1,500,000",
Banking and finance,"3,500.50","1,500,000",
Manufacturing,"3,500.50","3,000,000",
Education,"3,500.50","3,000,000",
Other (Please specify),"3,500.50","3,000,000",
Media,"3,500.50","6,000,000",
Banking and finance,"3,500.50","875,000.50",
Education,"3,500.50","50,000.50",
Telecommunications/ISP,"3,500.50","50,000.50",473.7419178
Government,750.5,"175,000.50",
Banking and finance,750.5,"175,000.50",
Education,750.5,375000.5,
Telecommunications/ISP,750.5,375000.5,
Technology,750.5,375000.5,
Education,750.5,"625,000.50",
Healthcare,750.5,"625,000.50",
Telecommunications/ISP,750.5,"625,000.50",
Technology,750.5,"625,000.50",
Banking and finance,750.5,"625,000.50",
Other (Please specify),750.5,"1,500,000",
Utilities,750.5,"1,500,000",
Technology,750.5,"3,000,000",
Cybersecurity,750.5,"3,000,000",
Cybersecurity,750.5,"3,000,000",
Banking and finance,750.5,"875,000.50",
Government,750.5,"12,000,000",
Banking and finance,750.5,"12,000,000",
Retail,750.5,"50,000.50",
Banking and finance,750.5,"50,000.50",
Education,750.5,"50,000.50",
Banking and finance,750.5,"50,000.50",
Technology,750.5,"50,000.50",
Cybersecurity,750.5,"50,000.50",
Banking and finance,750.5,"50,000.50",
Education,750.5,"50,000.50",2146.005714
Cybersecurity,50.5,"175,000.50",
Utilities,50.5,"175,000.50",
Banking and finance,50.5,"175,000.50",
Technology,50.5,"175,000.50",
Transportation,50.5,"175,000.50",
Cybersecurity,50.5,"175,000.50",
Transportation,50.5,"175,000.50",
Technology,50.5,"175,000.50",
Cybersecurity,50.5,"175,000.50",
Cybersecurity,50.5,375000.5,
Cybersecurity,50.5,375000.5,
Banking and finance,50.5,375000.5,
Transportation,50.5,375000.5,
Cybersecurity,50.5,"625,000.50",
Media,50.5,"625,000.50",
Telecommunications/ISP,50.5,"875,000.50",
Technology,50.5,"50,000.50",
Retail,50.5,"50,000.50",
Telecommunications/ISP,50.5,"50,000.50",
Technology,50.5,"50,000.50",
Technology,50.5,"50,000.50",
Cybersecurity,50.5,"50,000.50",
Cybersecurity,50.5,"50,000.50",
Technology,50.5,"50,000.50",
Technology,50.5,"50,000.50",
Cybersecurity,50.5,"50,000.50",
Cybersecurity,50.5,"50,000.50",
Technology,50.5,"50,000.50",
Cybersecurity,50.5,"50,000.50",
Technology,50.5,"50,000.50",
Technology,50.5,"50,000.50",3800.712552
