industry,orgSize,intSecStaff,intSecStaff2,intJuniorStaff,intGenStaff,intMonStaff,intIRStaff,intTIStaff,budget
Technology,101 to 500,,11 to 25,Less than 1 ,2 to 10,2 to 10,Less than 1 ,Less than 1 ,"Less than $100,000 USD"
Government,"50,001 to 100,000",26 to 100,2 to 10,2 to 10,2 to 10,Less than 1 ,Less than 1 ,2 to 10,$4 million to $8 million USD
Hospitality,"15,001 to 50,000",2 to 10,Less than 1 (part-time),,2 to 10,,,,"250,001 to $500,000 USD"
Technology,Fewer than 100,1,Less than 1 (part-time),Less than 1 ,Less than 1 ,Less than 1 ,Less than 1 ,Less than 1 ,"Less than $100,000 USD"
Banking and finance,"1,001 to 2,000",,2 to 10,2 to 10,1,Less than 1 ,Less than 1 ,Less than 1 ,$4 million to $8 million USD
Insurance,"5,001 to 10,000",2 to 10,2 to 10,,2 to 10,Less than 1 ,Less than 1 ,Less than 1 ,
Retail,Fewer than 100,,,,,,,,"Less than $100,000 USD"
Cybersecurity,101 to 500,,26 to 100,1,11 to 25,2 to 10,2 to 10,2 to 10,$2 million to $4 million USD
Cybersecurity,Fewer than 100,,,,,,,,
Healthcare,"5,001 to 10,000",,2 to 10,1,2 to 10,2 to 10,1,1,$2 million to $4 million USD
Retail,"501 to 1,000",2 to 10,Less than 1 (part-time),Less than 1 ,1,1,1,1,"Less than $100,000 USD"
Technology,"501 to 1,000",2 to 10,2 to 10,,,2 to 10,2 to 10,2 to 10,$2 million to $4 million USD
Technology,"1,001 to 2,000",2 to 10,2 to 10,1,1,2 to 10,2 to 10,1,$1 million to $2 million USD
Cybersecurity,Fewer than 100,,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,"250,001 to $500,000 USD"
Manufacturing,"15,001 to 50,000",2 to 10,1,1,2 to 10,Less than 1 ,Less than 1 ,Less than 1 ,$1 million to $2 million USD
Government,101 to 500,2 to 10,1,2 to 10,Less than 1 ,Less than 1 ,Less than 1 ,Less than 1 ,"250,001 to $500,000 USD"
Telecommunications/ISP,Fewer than 100,2 to 10,2 to 10,2 to 10,1,1,1,1,"Less than $100,000 USD"
Government,"50,001 to 100,000",11 to 25,2 to 10,2 to 10,1,1,2 to 10,1,"Less than $100,000 USD"
Government,101 to 500,,,,,,,,
