orgSize,budget,
50.5,"175,000.50",
50.5,"175,000.50",
50.5,"175,000.50",
50.5,"175,000.50",
50.5,375000.5,
50.5,375000.5,
50.5,375000.5,
50.5,"625,000.50",
50.5,"625,000.50",
50.5,50000.5,
50.5,50000.5,
50.5,50000.5,
50.5,50000.5,
50.5,50000.5,4702.980198
300.5,"1,500,000",
300.5,"1,500,000",
300.5,"1,500,000",
300.5,"1,500,000",
300.5,"1,500,000",
300.5,"175,000.50",
300.5,"175,000.50",
300.5,"175,000.50",
300.5,"175,000.50",
300.5,"175,000.50",
300.5,"175,000.50",
300.5,"175,000.50",
300.5,"175,000.50",
300.5,"175,000.50",
300.5,"175,000.50",
300.5,"175,000.50",
300.5,32000000,
300.5,375000.5,
300.5,375000.5,
300.5,375000.5,
300.5,375000.5,
300.5,375000.5,
300.5,375000.5,
300.5,375000.5,
300.5,375000.5,
300.5,375000.5,
300.5,375000.5,
300.5,375000.5,
300.5,375000.5,
300.5,375000.5,
300.5,375000.5,
300.5,375000.5,
300.5,375000.5,
300.5,375000.5,
300.5,"6,000,000",
300.5,"625,000.50",
300.5,"625,000.50",
300.5,"625,000.50",
300.5,"625,000.50",
300.5,"625,000.50",
300.5,"625,000.50",
300.5,"625,000.50",
300.5,"625,000.50",
300.5,"625,000.50",
300.5,"625,000.50",
300.5,875000.5,
300.5,875000.5,
300.5,875000.5,
300.5,875000.5,
300.5,875000.5,
300.5,875000.5,
300.5,875000.5,
300.5,50000.5,
300.5,50000.5,
300.5,50000.5,
300.5,50000.5,3944.320448
750.5,"1,500,000",
750.5,"1,500,000",
750.5,"1,500,000",
750.5,"1,500,000",
750.5,"175,000.50",
750.5,"175,000.50",
750.5,"175,000.50",
750.5,"175,000.50",
750.5,"175,000.50",
750.5,"175,000.50",
750.5,"175,000.50",
750.5,"175,000.50",
750.5,"175,000.50",
750.5,"175,000.50",
750.5,"175,000.50",
750.5,"175,000.50",
750.5,32000000,
750.5,"3,000,000",
750.5,"3,000,000",
750.5,"3,000,000",
750.5,375000.5,
750.5,375000.5,
750.5,375000.5,
750.5,375000.5,
750.5,375000.5,
750.5,375000.5,
750.5,"6,000,000",
750.5,"6,000,000",
750.5,"625,000.50",
750.5,"625,000.50",
750.5,"625,000.50",
750.5,"625,000.50",
750.5,"625,000.50",
750.5,875000.5,
750.5,875000.5,
750.5,875000.5,
750.5,875000.5,
750.5,875000.5,
750.5,50000.5,
750.5,50000.5,
750.5,50000.5,
750.5,50000.5,
750.5,50000.5,
750.5,50000.5,
750.5,50000.5,
750.5,50000.5,2063.842018
1500.5,"1,500,000",
1500.5,"1,500,000",
1500.5,"1,500,000",
1500.5,"1,500,000",
1500.5,"1,500,000",
1500.5,"175,000.50",
1500.5,375000.5,
1500.5,375000.5,
1500.5,375000.5,
1500.5,375000.5,
1500.5,375000.5,
1500.5,375000.5,
1500.5,375000.5,
1500.5,"625,000.50",
1500.5,"625,000.50",
1500.5,875000.5,
1500.5,12000000,
1500.5,12000000,1348.624736
"3,500.50","1,500,000",
"3,500.50","175,000.50",
"3,500.50",32000000,
"3,500.50","3,000,000",
"3,500.50","3,000,000",
"3,500.50",375000.5,
"3,500.50",375000.5,
"3,500.50",375000.5,
"3,500.50","6,000,000",
"3,500.50","6,000,000",
"3,500.50","6,000,000",
"3,500.50","6,000,000",
"3,500.50","625,000.50",
"3,500.50","625,000.50",
"3,500.50","625,000.50",
"3,500.50","625,000.50",
"3,500.50","625,000.50",
"3,500.50",875000.5,
"3,500.50",50000.5,
"3,500.50",50000.5,
"3,500.50",50000.5,
"3,500.50",50000.5,
"3,500.50",50000.5,857.6415481
